conseq	area-under-curve
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	9999.0	
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&5_prime_UTR_variant&intron_variant	9999.0	
splice_acceptor_variant&splice_polypyrimidine_tract_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant	9999.0	
start_lost&splice_region_variant&start_retained_variant&5_prime_UTR_variant	9999.0	
start_lost&splice_region_variant&start_retained_variant	9999.0	
stop_gained&inframe_insertion&splice_region_variant&NMD_transcript_variant	9999.0	
transcript_ablation	9999.0	
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&non_coding_transcript_exon_variant&intron_variant	9999.0	
stop_gained&start_lost	9999.0	
splice_acceptor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&non_coding_transcript_exon_variant&intron_variant	9999.0	
splice_donor_variant&splice_acceptor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&non_coding_transcript_exon_variant&intron_variant	9999.0	
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&frameshift_variant&stop_lost&splice_polypyrimidine_tract_variant&intron_variant	9999.0	
splice_donor_variant&missense_variant	9999.0	
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	9999.0	
splice_donor_variant&splice_acceptor_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&intron_variant	9999.0	
frameshift_variant&stop_lost&splice_region_variant&NMD_transcript_variant	9999.0	
splice_donor_variant&splice_acceptor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant	9999.0	
splice_acceptor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant	9999.0	
stop_gained&protein_altering_variant&incomplete_terminal_codon_variant	9999.0	
splice_polypyrimidine_tract_variant&splice_region_variant&non_coding_transcript_exon_variant	9999.0	
stop_lost&splice_region_variant&3_prime_UTR_variant&NMD_transcript_variant	9999.0	
