22	16061784	CR	
22	16061872	CR	
22	16061873	CR	
22	16061902	CR	
22	16061912	CR	
22	16145816	CR	
22	16146017	CR	
22	16146021	CR	
22	16391918	OR	
22	16419217	CR	
22	16419243	CR	
22	16419272	CR	
22	16526745	OR	
22	16526792	OR	
22	16526798	OR	
22	16526816	OR	
22	16526838	OR	
22	16526843	OR	
22	16526877	OR	
22	16526889	OR	
22	16526909	OR	
22	16526911	OR	
22	16526939	OR	
22	16526945	OR	
22	16526949	OR	
22	16526962	OR	
22	16526976	OR	
22	16526977	OR	
22	16526981	OR	
22	16527040	OR	
22	16527043	OR	
22	16527073	OR	
22	16527076	OR	
22	16527095	OR	
22	16527113	OR	
22	16527125	OR	
22	16527143	OR	
22	16527173	OR	
22	16527176	OR	
22	16527202	OR	
22	16527238	OR	
22	16527329	OR	
22	16527334	OR	
22	16527335	OR	
22	16527343	OR	
22	16527347	OR	
22	16527366	OR	
22	16527377	OR	
22	16527405	OR	
22	16527408	OR	
22	16527409	OR	
22	16527420	OR	
22	16527425	OR	
22	16527430	OR	
22	16527432	OR	
22	16527433	OR	
22	16527510	OR	
22	16527552	OR	
22	16527553	OR	
22	16527574	OR	
22	16527618	OR	
22	16527657	OR	
22	16527666	OR	
22	16527952	CR,OR	
22	16527964	CR,OR	
22	16527992	CR,OR	
22	16527997	CR,OR	
22	16528038	CR,OR	
22	16528060	OR	
22	16528145	OR	
22	16528223	OR	
22	16528268	OR	
22	16528297	OR	
22	16528299	OR	
22	16528321	OR	
22	16528345	OR	
22	16528358	OR	
22	16528382	OR	
22	16528386	OR	
22	16528388	OR	
22	16528399	OR	
22	16528404	OR	
22	16528414	OR	
22	16528417	OR	
22	16528441	OR	
22	16528497	OR	
22	16528512	OR	
22	16528537	OR	
22	16528564	OR	
22	16528648	OR	
22	16528697	OR	
22	16528708	OR	
22	16528723	OR	
22	16528818	OR	
22	16528844	OR	
22	16528957	OR	
22	16528959	OR	
22	16528962	OR	
22	16528995	OR	
22	16529014	OR	
22	16529042	OR	
22	16529070	OR	
22	16529078	OR	
22	16529088	OR	
22	16529094	OR	
22	16529110	OR	
22	16529128	OR	
22	16529184	OR	
22	16529186	OR	
22	16529207	OR	
22	16529219	OR	
22	16529232	OR	
22	16529258	OR	
22	16529286	OR	
22	16529345	OR	
22	16529346	OR	
22	16529428	OR	
22	16529448	OR	
22	16529476	OR	
22	16529524	OR	
22	16529577	OR	
22	16558011	OR	
22	16558021	OR	
22	16558174	OR	
22	16558218	OR	
22	16558249	OR	
22	16558260	OR	
22	16558291	CR,OR	
22	16558302	CR,OR	
22	16558313	CR,OR	
22	16558329	CR,OR	
22	16558364	CR,OR	
22	16558386	CR,OR	
22	16558389	CR,OR	
22	16558478	CR,OR	
22	16558514	CR,OR	
22	16558679	CR,OR	
22	16559262	OR	
22	16559278	OR	
22	16559296	OR	
22	16559320	OR	
22	16559322	OR	
22	16559339	OR	
22	16559340	OR	
22	16559402	OR	
22	16559404	OR	
22	16559421	OR	
22	16559457	OR	
22	16559539	OR	
22	16559541	OR	
22	16559620	OR	
22	16559692	OR	
22	16559693	OR	
22	16559695	OR	
22	16559707	OR	
22	16559758	OR	
22	16559770	OR	
22	16559777	OR	
22	16559778	OR	
22	16559798	OR	
22	16559813	OR	
22	16559824	OR	
22	16559870	OR	
22	16559876	OR	
22	16559877	OR	
22	16559889	OR	
22	16559894	OR	
22	16559913	OR	
22	16559930	OR	
22	16559936	OR	
22	16559968	OR	
22	16560038	OR	
22	16560103	OR	
22	16560113	OR	
22	16560118	OR	
22	16560182	OR	
22	16560186	OR	
22	16560233	OR	
22	16560310	OR	
22	16560336	OR	
22	16560416	OR	
22	16560427	OR	
22	16560428	OR	
22	16560436	OR	
22	16560468	OR	
22	16560473	OR	
22	16560476	OR	
22	16560490	OR	
22	16560511	OR	
22	16560515	OR	
22	16560516	OR	
22	16560539	OR	
22	16560547	OR	
22	16560548	OR	
22	16560612	OR	
22	16560630	OR	
22	16560694	OR	
22	16560698	OR	
22	16560710	OR	
22	16560730	OR	
22	16560749	OR	
22	16560786	OR	
22	16560799	OR	
22	16560846	OR	
22	16560866	OR	
22	16560876	OR	
22	16560896	OR	
22	16561116	OR	
22	16561208	OR	
22	16561231	OR	
22	16561234	OR	
22	16561242	OR	
22	16561269	OR	
22	16561326	OR	
22	16561368	OR	
22	16561719	OR	
22	16585517	CR	
22	16585518	CR	
22	16585527	CR	
22	16585530	CR	
22	16585543	CR	
22	16585695	CR	
22	16586258	CR,OR	
22	16586337	CR,OR	
22	16586408	CR,OR	
22	16586442	CR,OR	
22	16586444	CR,OR	
22	16586486	CR,OR	
22	16586508	CR,OR	
22	16586546	CR,OR	
22	16586819	OR	
22	16586849	OR	
22	16586884	OR	
22	16586914	OR	
22	16586951	OR	
22	16586980	OR	
22	16586997	OR	
22	16587026	OR	
22	16587132	CR,OR	
22	16587148	CR,OR	
22	16587174	CR,OR	
22	16587190	CR,OR	
22	16587214	CR,OR	
22	16587250	CR,OR	
22	16587287	CR,OR	
22	16587346	OR	
22	16587364	OR	
22	16587388	OR	
22	16587409	OR	
22	16587411	OR	
22	16587416	OR	
22	16587452	OR	
22	16587456	OR	
22	16587507	OR	
22	16587520	OR	
22	16587556	OR	
22	16587559	OR	
22	16587590	OR	
22	16587596	OR	
22	16587617	OR	
22	16587632	OR	
22	16587645	OR	
22	16587676	OR	
22	16587691	OR	
22	16587726	OR	
22	16589228	CR	
22	16589310	CR	
22	16589324	CR	
22	16589330	CR	
22	16589335	CR	
22	16589337	CR	
22	16589369	CR	
22	16589378	CR	
22	16589386	CR	
22	16589391	CR	
22	16589411	CR	
22	16589430	CR	
22	16589449	CR	
22	16589463	CR	
22	16589478	CR	
22	16589500	CR	
22	16589508	CR	
22	16591264	CR	
22	16594083	CR	
22	16594144	CR	
22	16594159	CR	
22	16594208	CR	
22	16594379	CR	
22	16594384	CR	
22	16594387	CR	
22	16594497	CR	
22	16594516	CR	
22	16594550	CR	
22	16594583	CR	
22	16594589	CR	
22	16594593	CR	
22	16600923	CR,OR	
22	16600945	CR,OR	
22	16601009	CR,OR	
22	16601020	CR,OR	
22	16601022	CR,OR	
22	16601026	CR,OR	
22	16601041	CR,OR	
22	16601047	CR,OR	
22	16601050	CR,OR	
22	16601090	OR	
22	16601108	OR	
22	16601201	CR,OR	
22	16601213	CR,OR	
22	16601235	CR,OR	
22	16601411	CR,OR	
22	16601412	CR,OR	
22	16601426	CR,OR	
22	16601432	CR,OR	
22	16601556	OR	
22	16601574	OR	
22	16601583	OR	
22	16601834	CR,OR	
22	16601863	CR,OR	
22	16601879	CR,OR	
22	16601895	CR,OR	
22	16601902	CR,OR	
22	16601906	CR,OR	
22	16601930	CR,OR	
22	16602162	CR,OR	
22	16602166	CR,OR	
22	16602203	CR,OR	
22	16602217	CR,OR	
22	16602317	CR,OR	
22	16602330	CR,OR	
22	16602341	CR,OR	
22	16602353	CR,OR	
22	16602409	OR	
22	16602423	OR	
22	16602431	OR	
22	16602513	CR,OR	
22	16602536	CR,OR	
22	16602554	CR,OR	
22	16602590	CR,OR	
22	16602601	CR,OR	
22	16602611	CR,OR	
22	16602616	CR,OR	
22	16602627	CR,OR	
22	16602654	CR,OR	
22	16603111	CR,OR	
22	16603113	CR,OR	
22	16603181	CR,OR	
22	16603206	OR	
22	16603215	OR	
22	16603440	CR	
22	16603447	CR	
22	16603501	CR	
22	16603512	CR	
22	16603560	CR	
22	16603588	CR	
22	16603630	CR	
22	16603637	CR	
22	16603652	CR	
22	16603671	CR	
22	16603705	CR	
22	16604658	CR	
22	16604679	CR	
22	16604749	CR	
22	16604766	CR	
22	16604846	CR	
22	16604879	CR	
22	16613814	CR	
22	16613932	CR	
22	16613983	CR	
22	16614019	CR	
22	16614020	CR	
22	16614056	CR	
22	16614078	CR	
22	16614978	CR	
22	16614997	CR	
22	16615064	CR	
22	16615112	CR	
22	16615118	CR	
22	16615124	CR	
22	16615134	CR	
22	16615170	CR	
22	16615184	CR	
22	16615223	CR	
22	16615336	CR	
22	16615337	CR	
22	16615400	CR	
22	16615411	CR	
22	16615421	CR	
22	16615462	CR	
22	16615463	CR	
22	16615551	OR	
22	16615559	OR	
22	16615613	OR	
22	16615656	CR,OR	
22	16615664	CR,OR	
22	16615694	CR,OR	
22	16615727	CR,OR	
22	16615778	CR,OR	
22	16615781	CR,OR	
22	16615788	CR,OR	
22	16615826	CR,OR	
22	16615837	CR,OR	
22	16615859	CR,OR	
22	16615895	CR,OR	
22	16615919	CR,OR	
22	16615962	CR,OR	
22	16616008	OR	
22	16616012	OR	
22	16616022	OR	
22	16616084	OR	
22	16616111	OR	
22	16616131	OR	
22	16616151	OR	
22	16616182	OR	
22	16616183	OR	
22	16616224	OR	
22	16616233	OR	
22	16616319	OR	
22	16616320	OR	
22	16616334	OR	
22	16616344	OR	
22	16616356	OR	
22	16616365	OR	
22	16616403	OR	
22	16616437	OR	
22	16616502	CR,OR	
22	16616543	CR,OR	
22	16616566	CR,OR	
22	16616576	CR,OR	
22	16616627	CR,OR	
22	16616637	CR,OR	
22	16616702	CR,OR	
22	16616750	OR	
22	16616838	OR	
22	16616889	OR	
22	16616961	OR	
22	16617014	OR	
22	16617150	OR	
22	16617187	OR	
22	16617225	OR	
22	16617254	OR	
22	16617272	OR	
22	16617277	OR	
22	16617289	OR	
22	16617290	OR	
22	16617293	OR	
22	16617318	OR	
22	16617320	OR	
22	16617332	OR	
22	16617359	OR	
